District,Wealth
>L|PUR DU>R,2121085124.2082324
>NJ>W,1840052.2622539676
ADILABAD,1077165021.4610288
AGAR MALWA,561680813.914861
AGRA,42250342267.537575
AHMADABAD,141737164171.67743
AHMEDNAGAR,21270572168.492813
AIZAWL,833420422.6179737
AJMER,8936887318.21029
AKOLA,4303149144.619786
ALIGARH,24252504902.73485
ALIRAJPUR,407145603.2577995
ALLURI SITHARAMA RAJU,258874885.55430818
ALMORA,365509373.9650172
ALWAR,8148566852.987679
AMBALA,8757782458.817186
AMBEDKAR NAGAR,13677194008.268068
AMETHI,9253836563.560041
AMRAVATI,7544572471.993021
AMRELI,1546923823.9024475
AMRITSAR,22195616313.762287
AMROHA,14515122058.306633
ANAKAPALLI,11752990445.275904
ANAND,16031271171.272734
ANANTHAPURAMU,4334393917.412997
ANANTNAG,1126950061.5051692
ANNAMAYYA,1555300554.6627114
ANOOPGARH,200865147.95236453
ANUGUL,8601973110.323631
ANUPPUR,1902282482.320441
ARARIA,10268151213.162458
ARIYALUR,1354579130.495457
ARVALLI,908605239.7115563
ARWAL,4307747644.147481
ASHOKNAGAR,974213186.2606783
AURAIYA,8350014219.472704
AURANGABAD,14142659859.162598
AYODHYA,17694606919.31044
AZAMGARH,31827701510.587585
Alappuzha,2750994804.6845813
B,3494368950.8338284
B>GESHWAR,93224254.30781375
B>NKURA,13946985344.536789
BADGAM,2683520968.459426
BAGHPAT,10397348483.233553
BAHRAICH,6088313821.489382
BAJALI,230821379.82762983
BAKSA,314770856.2187195
BALAGHAT,987059358.1169697
BALANGIR,2415476197.1641498
BALASORE,7367471542.754633
BALLIA,22594250885.023964
BALOD,958364572.4920728
BALODA BAZAR,7683697811.61884
BALOTRA,366255559.2268919
BALRAMPUR,3783750439.8123517
BANAS KANTHA,2899543591.2267537
BANDA,2310452309.383438
BANDIPURA,406115025.64985746
BANKA,8595925837.196547
BANSWARA,1757235381.5257037
BAPATLA,5932736336.658325
BARA BANKI,13640197893.953072
BARAMULA,2570727028.551486
BARAN,4379691399.459128
BAREILLY,25498509967.361706
BARGARH,3663176199.0522337
BARMER,975245239.8467956
BARNALA,2484946205.8419147
