sid,name,year,basin,landfall_state,landfall_date,dlna_available,litpop_ready,comments,dlna_total_usd
2020136N10088,AMPHAN,2020,BoB,West Bengal,5/20/2020,yes,yes,"Landfall near Digha, WB; India DLNA ≈ USD 3.2B",3200000000
2019116N02090,FANI,2019,BoB,Odisha,5/3/2019,yes,yes,"Landfall near Puri, Odisha; India DLNA ≈ USD 1.2B",1200000000
2020153N13072,NISARGA,2020,AS,Maharashtra,6/3/2020,yes,yes,"Landfall near Alibag, Maharashtra; Wikipedia + MoES data",800000000
2013281N12098,PHAILIN,2013,BoB,Odisha,10/12/2013,yes,yes,"Landfall near Gopalpur, Odisha; EM-DAT + IMD/NDMA consensus",4150000000
2021133N10071,TAUKTAE,2021,AS,Gujarat,5/17/2021,yes,yes,"Landfall near Diu/Saurashtra coast, Gujarat; MoES + global assessments",1800000000
2014279N11096,HUDHUD,2014,BoB,ANDHRA PRADESH,10/12/2014,yes,yes,"Landfall near Visakhapatnam; India-only DLNA ≈ USD 3.5B (Nepal excluded)",3500000000
2021143N15090,YAAS,2021,BoB,ODISHA,5/26/2021,yes,yes,"Landfall near Balasore; India DLNA ≈ USD 2.99B",2990000000
2018281N14088,TITLI,2018,BoB,ODISHA,10/11/2018,yes,yes,"Landfall near Palasa; DLNA ≈ USD 920M; major impact in Ganjam, Gajapati, Rayagada",920000000
2019302N11118,BULBUL,2019,BoB,WEST BENGAL,11/9/2019,yes,yes,"Landfall near Sagar Island; DLNA ≈ USD 3.2B (WB+Odisha)",3200000000
2018314N12093,GAJA,2018,BoB,TAMIL NADU,11/16/2018,yes,yes,"Landfall near Vedaranyam; India DLNA ≈ USD 1.6B",1600000000
2016341N08092,VARDHAH,2016,BoB,TAMIL NADU,12/12/2016,yes,yes,"Landfall near Chennai; India DLNA ≈ USD 1.0B",1000000000
2017333N06082,OCKHI,2017,AS,KERALA,12/02/2017,yes,yes,"Track near Kanyakumari; major impacts in Kerala & Lakshadweep; India DLNA ≈ USD 0.9B",900000000
2009143N17089,AILA,2009,BoB,WEST BENGAL,05/25/2009,yes,yes,"Severe impact in West Bengal & Bangladesh; India DLNA ≈ USD 1.2B",1200000000
2010137N10090,LAILA,2010,BoB,ANDHRA PRADESH,05/20/2010,yes,yes,"Landfall near Bapatla; India DLNA ≈ USD 0.6B",600000000
2013322N13090,HELEN,2013,BoB,ANDHRA PRADESH,11/22/2013,yes,yes,"Landfall near Machilipatnam; India DLNA ≈ USD 0.5B",500000000

