sid,cyclone_name,year,state,District,loss_usd_raw,HWE_weight_norm,loss_usd_hwe,dlna_total,calibration_state,dist_to_coast_km,is_inland
2016341N08092,Vardah,2016,TAMIL NADU,ARIYALUR,0.0,0.0,0.0,1000000000.0,TAMIL NADU,63.62057119579406,False
2016341N08092,Vardah,2016,TAMIL NADU,CHENGALPATTU,2010269858.8763025,0.1504329667718519,150432966.77185193,1000000000.0,TAMIL NADU,19.325784333509223,False
2016341N08092,Vardah,2016,TAMIL NADU,CHENNAI,9931451029.90268,0.4959795742450848,495979574.2450848,1000000000.0,TAMIL NADU,5.839643124010018,False
2016341N08092,Vardah,2016,TAMIL NADU,COIMBATORE,0.0,0.0,0.0,1000000000.0,TAMIL NADU,108.39100130541205,False
2016341N08092,Vardah,2016,TAMIL NADU,CUDDALORE,966743.2770599404,0.0,0.0,1000000000.0,TAMIL NADU,34.0290741443354,False
2016341N08092,Vardah,2016,TAMIL NADU,DHARMAPURI,0.0,0.0,0.0,1000000000.0,TAMIL NADU,179.62476998661626,True
2016341N08092,Vardah,2016,TAMIL NADU,DINDIGUL,0.0,0.0,0.0,1000000000.0,TAMIL NADU,150.21223962734382,True
2016341N08092,Vardah,2016,TAMIL NADU,ERODE,0.0,0.0,0.0,1000000000.0,TAMIL NADU,173.7002175044597,True
2016341N08092,Vardah,2016,TAMIL NADU,KALLAKKURICHI,0.0,0.0,0.0,1000000000.0,TAMIL NADU,83.48371470022124,False
2016341N08092,Vardah,2016,TAMIL NADU,KANCHIPURAM,1564978481.1963916,0.0796884752293402,79688475.22934027,1000000000.0,TAMIL NADU,45.57299150332072,False
2016341N08092,Vardah,2016,TAMIL NADU,KANNIYAKUMARI,0.0,0.0,0.0,1000000000.0,TAMIL NADU,18.78620052208621,False
2016341N08092,Vardah,2016,TAMIL NADU,KARUR,0.0,0.0,0.0,1000000000.0,TAMIL NADU,143.96170420098792,False
2016341N08092,Vardah,2016,TAMIL NADU,KRISHNAGIRI,0.0,0.0,0.0,1000000000.0,TAMIL NADU,209.2621366787505,True
2016341N08092,Vardah,2016,TAMIL NADU,MADURAI,0.0,0.0,0.0,1000000000.0,TAMIL NADU,98.5553036045135,False
2016341N08092,Vardah,2016,TAMIL NADU,MAYILADUTHURAI,0.0,0.0,0.0,1000000000.0,TAMIL NADU,13.320733333447928,False
2016341N08092,Vardah,2016,TAMIL NADU,NAGAPATTINAM,0.0,0.0,0.0,1000000000.0,TAMIL NADU,10.209239249806872,False
2016341N08092,Vardah,2016,TAMIL NADU,NAMAKKAL,0.0,0.0,0.0,1000000000.0,TAMIL NADU,173.9717180304713,True
2016341N08092,Vardah,2016,TAMIL NADU,PERAMBALUR,0.0,0.0,0.0,1000000000.0,TAMIL NADU,100.23741902161902,False
2016341N08092,Vardah,2016,TAMIL NADU,PUDUKKOTTAI,0.0,0.0,0.0,1000000000.0,TAMIL NADU,44.88464767338112,False
2016341N08092,Vardah,2016,TAMIL NADU,RAMANATHAPURAM,0.0,0.0,0.0,1000000000.0,TAMIL NADU,22.89673354275472,False
2016341N08092,Vardah,2016,TAMIL NADU,RANIPET,347648132.6005033,0.0257863681795279,25786368.17952797,1000000000.0,TAMIL NADU,88.3188819996523,False
2016341N08092,Vardah,2016,TAMIL NADU,SALEM,0.0,0.0,0.0,1000000000.0,TAMIL NADU,169.83244123671898,True
2016341N08092,Vardah,2016,TAMIL NADU,SIVAGANGA,0.0,0.0,0.0,1000000000.0,TAMIL NADU,50.05393320338041,False
2016341N08092,Vardah,2016,TAMIL NADU,TENKASI,0.0,0.0,0.0,1000000000.0,TAMIL NADU,83.82630971138578,False
2016341N08092,Vardah,2016,TAMIL NADU,THANJAVUR,0.0,0.0,0.0,1000000000.0,TAMIL NADU,39.24228886074911,False
2016341N08092,Vardah,2016,TAMIL NADU,THE NILGIRIS,0.0,0.0,0.0,1000000000.0,TAMIL NADU,88.56990328646155,False
2016341N08092,Vardah,2016,TAMIL NADU,THENI,0.0,0.0,0.0,1000000000.0,TAMIL NADU,116.322807331382,False
2016341N08092,Vardah,2016,TAMIL NADU,THIRUVALLUR,3251012688.8942256,0.1680404108269501,168040410.82695013,1000000000.0,TAMIL NADU,35.30602115486796,False
2016341N08092,Vardah,2016,TAMIL NADU,THIRUVARUR,0.0,0.0,0.0,1000000000.0,TAMIL NADU,34.85096335295899,False
2016341N08092,Vardah,2016,TAMIL NADU,THOOTHUKUDI,0.0,0.0,0.0,1000000000.0,TAMIL NADU,19.491717239414548,False
2016341N08092,Vardah,2016,TAMIL NADU,TIRUCHIRAPPALLI,0.0,0.0,0.0,1000000000.0,TAMIL NADU,105.89032379890644,False
2016341N08092,Vardah,2016,TAMIL NADU,TIRUNELVELI,0.0,0.0,0.0,1000000000.0,TAMIL NADU,44.502725202798175,False
2016341N08092,Vardah,2016,TAMIL NADU,TIRUPATHUR,0.0,0.0,0.0,1000000000.0,TAMIL NADU,150.25642639306193,True
2016341N08092,Vardah,2016,TAMIL NADU,TIRUPPUR,0.0,0.0,0.0,1000000000.0,TAMIL NADU,151.79180468683495,True
2016341N08092,Vardah,2016,TAMIL NADU,TIRUVANNAMALAI,104623282.46853088,0.0184519719516874,18451971.95168749,1000000000.0,TAMIL NADU,90.34720972750073,False
2016341N08092,Vardah,2016,TAMIL NADU,VELLORE,221895108.50076595,0.0265075795209167,26507579.520916708,1000000000.0,TAMIL NADU,138.00579379448902,False
