sid,cyclone_name,year,state,District,loss_usd_raw,HWE_weight_norm,loss_usd_hwe,dlna_total
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,ANAKAPALLI,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,ANANTHAPURAMU,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,ANNAMAYYA,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,BAPATLA,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,CHITTOOR,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,DR.B.R.AMBEDKAR KONASEEMA,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,EAST GODAVARI,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,ELURU,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,GUNTUR,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,KAKINADA,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,KRISHNA,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,KURNOOL,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,NANDYAL,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,NTR,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,PALNADU,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,PARVATHIPURAM MANYAM,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,PRAKASAM,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,SRI SATHYA SAI,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,SRIKAKULAM,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,TIRUPATI,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,VISAKHAPATNAM,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,VIZIANAGARAM,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,WEST GODAVARI,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,PUDUCHERRY,YANAM,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDHRA PRADESH,YSR KADAPA,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,>NJ>W,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,CH>NGL>NG,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,DIB>NG VALLEY,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,EAST KAMENG,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,EAST SIANG,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,KURUNG KUMEY,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,LOWER DIB>NG VALLEY,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,PAPUMPARE,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,TAWANG,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,TIR>P,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,UPPER SIANG,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,UPPER SUBANSIRI,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,WEST KAMENG,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,SHI YOMI,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,NAMSAI,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,WEST SIANG,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,SIANG,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,LONGDING,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,PAKKE KESSANG,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,LOWER SIANG,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,LEPA RADA,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,BICHOM,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,KRA DAADI,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,KAMLE,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,KEYI PANYOR,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ARUNACHAL PRADESH,LOWER SUBANSIRI,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ASSAM,KOKRAJHAR,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ASSAM,CHIRANG,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ASSAM,UDALGURI,0.0,0.0,0.0,3200000000
2020136N10088,AMPHAN,2020,ASSAM,BAKSA,0.0,0.0,0.0,3200000000
