sid,length,mean_lat,mean_lon,cluster
1854303N14072,7.5255723,17.028,71.524,1
1877135N10083,18.891977,16.493105,83.28103,0
1877192N21090,15.177361,21.917646,83.914696,0
1877218N21090,3.8123093,22.677776,89.566666,0
1877220N22092,1.7830607,23.099998,91.38,0
1877226N21089,4.6275434,22.58889,88.49444,0
1877230N20091,3.3168325,21.661112,89.94444,0
1877241N20088,3.274986,21.35,87.46667,0
1877249N20088,6.308152,23.045238,86.13334,0
1877307N18091,4.0959353,19.822222,91.57779,0
1878202N18087,20.050852,21.521622,80.63378,0
1878215N20086,4.2587786,20.9,84.18,0
1878218N20089,8.764398,21.666666,84.57223,0
1878256N19090,19.719002,21.29655,79.87587,0
1878261N18090,7.9046946,20.473808,89.17381,0
1878287N16084,1.6186908,16.59,83.590004,0
1878301N15084,3.516407,16.122223,83.38333,0
1878308N16084,3.9330432,17.572222,83.17222,0
1878339N17087,4.560985,17.423079,84.28462,0
1879140N13081,1.2828405,13.32,80.55,0
1879141N12073,7.9308,15.688461,72.03077,1
1879149N21087,8.007828,21.434614,84.69616,0
1879220N21088,10.763814,22.704762,83.9,0
1879256N21090,6.1971483,21.258825,88.320595,0
1879265N20089,14.731841,20.911999,82.684006,0
1879284N19092,9.181318,20.405882,88.62941,0
1879299N20092,3.4531577,21.400002,91.909996,0
1879305N15097,5.3393555,17.60588,96.176476,0
1879322N13081,2.3041735,13.530001,80.44,0
1880153N20089,5.39404,21.973076,88.13077,0
1880177N19088,8.364032,20.502382,85.03571,0
1880196N20089,9.886179,21.996155,84.87308,0
1880214N20088,17.412512,22.669699,82.52576,0
1880233N21089,7.1354957,22.176191,87.473816,0
1880257N19089,17.643784,22.090475,81.176186,0
1880265N20088,1.7934965,20.32,87.24,0
1880267N21088,6.839556,21.166664,86.149994,0
1880287N17085,5.0908513,17.316666,84.27779,0
1880325N10082,1.8422954,9.950001,80.899994,0
1881146N14067,12.304419,17.212069,64.0069,1
1881146N20090,5.2169905,23.083336,89.42777,0
1881154N20089,2.8000011,20.777779,88.6,0
1881157N21088,11.077982,21.396152,81.26923,0
1881165N21089,6.3757844,23.02941,87.997055,0
1881183N21088,9.184477,20.93889,83.38333,0
1881194N21090,13.51159,21.557142,86.23096,0
1881214N20087,16.674978,21.683332,79.444435,0
1881230N21089,5.4589963,22.02,85.97,0
1881254N20089,15.493149,21.992308,82.834625,0
1881277N17085,9.143001,20.92619,84.18095,0
1881315N11082,4.021278,12.066667,81.07778,0
1882192N21089,8.23212,20.805883,85.51471,0
1882199N21089,19.953892,23.514286,82.15714,0
1882204N20089,12.851519,22.66154,82.823074,0
1882212N20088,0.0,20.0,88.0,0
1882231N21089,11.51533,23.644117,83.61471,0
1882249N20090,25.391024,24.12027,79.554054,1
1882257N18087,4.26003,18.99231,85.64232,0
1882269N16092,15.40225,21.26724,85.11897,0
1882285N13085,11.976127,19.480953,86.564285,0
1882300N11089,11.054651,14.685714,85.57381,0
1882325N09089,14.098949,11.135714,82.03809,0
1882332N10087,7.181423,11.216667,83.522224,0
1883165N21087,7.5873756,24.57941,85.96471,0
1883177N20089,24.277092,21.798485,82.259094,0
1883183N22068,3.321074,22.466667,66.5,1
1883184N20090,2.5186877,21.811111,89.02223,0
1883187N20089,9.424968,20.726921,86.411545,0
1883193N19089,4.5870495,19.57778,86.68333,0
1883196N22068,3.3210735,22.42222,66.5,1
1883207N21090,6.407,21.977777,87.40555,0
1883234N18088,4.6073313,18.746153,85.83077,0
1883314N11095,10.094182,14.970589,93.57353,0
1883338N17086,6.289995,18.983334,88.672226,0
1884135N11090,8.162661,14.638462,90.19231,0
1884171N20088,11.838167,22.05,83.7,0
