year,storm_count
1842,1
1845,1
1854,1
1877,9
1878,9
1879,10
1880,10
1881,12
1882,12
1883,11
1884,15
1885,11
1886,11
1887,13
1888,14
1889,12
1890,10
1891,13
1892,12
1893,12
1894,12
1895,11
1896,10
1897,12
1898,14
1899,7
1900,10
1901,6
1902,13
1903,14
1904,9
1905,10
1906,11
1907,15
1908,9
1909,8
1910,6
1911,7
1912,9
1913,10
1914,8
1915,9
1916,14
1917,10
1918,11
1919,11
1920,11
1921,10
1922,13
1923,16
1924,13
1925,20
1926,13
1927,18
1928,13
1929,15
1930,14
1931,11
1932,15
1933,16
1934,16
1935,15
1936,19
1937,19
1938,10
1939,19
1940,16
1941,19
1942,14
1943,14
1944,19
1945,15
1946,18
1947,19
1948,20
1949,13
1950,16
1951,19
1952,18
1953,11
1954,19
1955,13
1956,15
1957,7
1958,13
1959,15
1960,17
1961,19
1962,16
1963,17
1964,22
1965,21
1966,20
1967,15
1968,13
1969,15
1970,16
1971,17
1972,19
1973,17
1974,12
1975,21
1976,14
1977,8
1978,6
1979,8
1980,5
1981,4
1982,19
1983,10
1984,8
1985,17
1986,8
1987,13
1988,10
1989,10
1990,12
1991,9
1992,15
1993,6
1994,6
1995,10
1996,12
1997,10
1998,13
1999,10
2000,6
2001,7
2002,6
2003,7
2004,11
2005,16
2006,13
2007,6
2008,10
2009,8
2010,8
2011,10
2012,5
2013,10
2014,8
2015,12
2016,8
2017,12
2018,14
2019,11
2020,10
2021,10
2022,15
2023,10
2024,4
