lat,lon
10.9,80.3
9.9,82.9
20.8,89.7
20.6,89.5
22.3,91.7
20.8,89.0
20.4,90.5
20.4,88.4
19.9,87.5
17.6,90.7
17.8,86.5
19.7,85.9
20.3,88.5
19.1,89.8
17.9,90.0
15.9,84.0
14.8,84.2
16.3,84.3
16.7,86.6
13.2,81.1
20.6,87.4
21.0,88.0
20.9,90.0
19.6,88.5
19.2,92.0
19.7,92.2
15.4,97.0
12.7,81.3
19.8,88.9
19.3,88.3
20.4,89.2
20.1,88.3
20.6,88.8
18.7,88.5
20.0,88.0
20.9,87.8
16.9,85.4
9.6,81.7
20.4,89.9
20.1,88.6
20.8,87.5
21.0,88.8
20.6,88.2
20.5,90.2
20.3,87.4
21.1,88.5
20.3,88.7
17.3,84.6
10.5,82.4
20.5,88.5
20.5,88.7
20.0,88.5
20.0,88.0
21.0,89.0
19.5,89.7
18.2,86.7
16.1,91.5
13.2,85.3
10.5,88.8
8.5,88.8
10.2,86.6
21.3,87.3
20.0,89.3
20.5,89.5
20.2,88.8
19.3,88.7
21.3,90.0
18.3,88.0
11.2,95.4
16.7,86.3
11.2,89.6
20.3,88.3
20.6,88.8
20.6,88.6
19.5,87.8
20.5,88.7
21.2,88.0
20.3,88.9
17.4,88.3
10.1,82.1
15.8,85.3
18.8,89.5
11.0,81.7
12.5,82.5
7.7,83.3
21.5,89.7
21.4,87.4
19.7,87.9
20.5,88.5
20.8,87.8
21.2,88.0
14.6,92.8
13.3,82.0
11.7,81.6
10.6,81.6
19.6,88.8
20.3,88.3
15.9,82.3
20.2,87.8
15.4,89.2
16.3,87.3
10.4,92.2
10.5,93.8
10.8,85.0
15.9,92.2
18.3,88.3
21.2,87.9
24.6,82.4
22.8,88.1
22.5,90.6
21.0,88.0
18.2,86.8
21.0,87.7
21.2,89.2
19.8,88.0
10.7,85.1
10.2,81.4
23.5,88.3
18.6,87.4
21.3,88.8
24.8,82.6
20.6,88.2
23.4,87.6
21.4,88.5
20.3,87.1
14.9,98.9
14.5,93.8
10.6,90.8
9.7,86.5
14.7,86.7
21.0,88.8
21.0,88.8
21.0,88.5
20.5,88.5
17.4,87.9
14.0,83.0
20.6,88.3
13.5,84.0
10.2,81.4
14.2,86.9
11.8,93.9
19.3,86.4
23.1,89.4
19.6,87.8
24.7,83.5
23.5,86.5
18.2,85.3
13.7,84.6
17.0,90.3
10.2,81.9
21.9,88.1
20.3,91.2
22.9,89.3
19.9,88.5
20.9,88.9
20.4,88.4
18.6,86.7
15.6,97.1
10.2,84.1
10.2,97.1
11.5,87.7
19.4,88.7
19.8,88.5
24.2,86.4
22.9,87.2
18.4,86.6
18.1,90.8
15.1,86.1
9.6,91.9
13.7,93.9
11.0,86.4
12.0,92.0
19.7,87.4
12.9,91.8
23.3,90.6
20.3,88.0
20.7,87.7
18.3,90.0
17.7,89.1
15.5,90.9
11.2,95.6
10.4,84.4
13.0,93.1
22.9,91.4
20.3,87.2
25.0,88.9
19.6,86.9
19.8,88.5
22.4,88.4
22.9,87.6
19.9,86.5
20.5,88.1
12.7,90.1
10.5,85.9
20.6,87.9
20.5,88.4
19.6,88.0
20.6,87.6
19.9,87.7
16.8,86.7
17.9,89.9
17.5,87.1
11.9,88.8
20.6,89.1
20.5,89.9
21.4,88.7
21.3,89.7
21.1,88.9
20.6,88.2
21.5,89.2
19.9,90.0
15.0,95.8
19.9,88.5
20.8,87.8
24.5,88.1
21.1,87.9
18.8,85.3
16.7,89.9
18.0,84.4
14.3,95.9
13.0,85.0
12.6,94.6
18.2,86.0
21.3,88.7
21.4,88.7
23.6,89.8
21.8,90.7
24.1,90.2
18.0,86.7
20.9,88.6
13.2,85.1
10.9,84.9
13.2,93.6
22.5,89.3
15.5,94.1
19.5,86.5
18.2,92.0
17.2,88.7
11.4,82.1
19.1,88.3
20.9,88.1
21.3,88.2
18.6,88.4
20.2,87.9
19.9,90.7
20.7,89.7
20.5,88.1
15.1,87.0
10.6,85.1
16.9,85.3
17.3,87.4
16.8,87.3
15.7,84.3
12.2,87.7
13.9,95.3
20.6,88.8
22.0,88.0
17.5,85.8
20.5,87.5
20.9,87.8
17.9,89.7
9.4,85.3
21.7,88.0
18.3,86.8
20.7,87.0
20.1,87.2
16.6,85.3
23.2,89.2
19.1,86.3
13.1,84.0
11.0,86.9
14.1,86.6
10.3,87.2
13.8,83.2
21.5,88.9
21.5,85.2
22.8,88.6
20.1,89.3
20.6,88.6
18.2,86.4
12.7,85.1
12.6,88.9
20.6,87.2
21.7,89.3
20.9,89.7
21.2,88.8
19.1,86.5
15.9,86.6
22.0,88.8
17.1,86.0
14.8,92.4
8.2,84.2
19.2,85.9
23.9,90.0
19.9,86.9
21.3,90.5
20.5,86.0
21.9,89.1
17.4,88.2
11.0,84.7
10.8,82.8
8.3,85.3
18.2,92.3
15.6,85.2
20.5,90.0
20.6,87.8
22.9,88.3
20.7,87.4
22.9,89.2
20.7,90.1
14.7,91.1
10.3,86.7
8.8,95.9
20.7,88.5
20.5,86.0
20.9,87.9
19.3,87.4
16.7,84.5
10.2,84.2
14.4,93.4
7.8,82.8
9.2,83.5
13.5,90.4
20.8,88.9
14.8,84.1
20.8,88.1
14.1,94.3
15.6,93.9
12.4,85.3
12.3,89.9
20.0,90.0
19.3,86.7
21.8,88.1
9.4,82.6
15.1,86.3
13.7,86.7
17.9,89.2
21.0,88.0
19.0,87.0
15.5,93.3
10.1,96.7
20.0,88.1
18.4,86.4
20.0,87.0
21.8,88.6
15.2,84.6
8.4,89.2
5.5,81.7
19.3,87.2
21.2,90.0
21.7,88.5
23.0,90.1
19.6,86.8
17.7,85.9
14.5,93.4
7.3,85.7
6.3,84.7
13.1,91.4
18.5,88.6
19.2,86.5
18.5,86.8
23.9,85.5
18.4,83.3
11.4,94.1
8.9,85.1
16.9,87.5
18.9,88.8
17.8,87.0
19.1,86.1
17.1,88.7
18.8,87.0
13.4,86.9
16.7,85.1
10.4,89.9
12.8,90.8
19.1,90.9
21.2,88.2
20.7,88.6
24.8,80.2
18.0,91.0
17.8,88.0
9.6,87.9
12.2,87.9
15.1,91.9
18.1,90.2
15.0,95.0
8.8,87.6
9.9,83.5
22.0,89.0
19.9,88.0
22.9,90.1
20.8,87.5
17.9,87.0
19.3,88.5
11.2,93.3
6.7,86.2
20.8,90.8
21.4,87.5
20.4,88.6
19.8,88.1
23.8,84.1
19.9,88.0
19.8,89.0
10.3,85.3
9.4,82.6
6.9,88.2
19.9,87.0
18.1,90.4
21.4,90.6
21.9,89.0
18.8,88.1
20.3,88.6
14.9,89.4
10.2,83.6
14.1,85.4
8.0,85.5
