sid,lat,lon,vmax,pmin,time,basin_geo
b'1842298N11080',10.9,80.3,,,-5866.874999999534,BoB
b'1842298N11080',10.9,79.8,,,-5866.749999999534,BoB
b'1842298N11080',10.8,79.4,,,-5866.624999999534,BoB
b'1842298N11080',10.8,78.9,,,-5866.499999999534,BoB
b'1842298N11080',10.8,78.4,,,-5866.374999999534,BoB
b'1842298N11080',10.8,77.9,,,-5866.249999999534,BoB
b'1842298N11080',10.8,77.4,,,-5866.124999999534,BoB
b'1842298N11080',10.8,76.9,,,-5865.999999999534,BoB
b'1842298N11080',10.8,76.4,,,-5865.874999999534,BoB
b'1842298N11080',10.8,75.8,,,-5865.749999999534,BoB
b'1842298N11080',10.8,75.3,,,-5865.624999999534,BoB
b'1842298N11080',10.9,74.7,,,-5865.499999999534,BoB
b'1842298N11080',10.9,74.1,,,-5865.374999999534,BoB
b'1842298N11080',11.0,73.5,,,-5865.249999999534,BoB
b'1842298N11080',11.0,73.0,,,-5865.124999999534,BoB
b'1842298N11080',11.1,72.4,,,-5864.999999999534,BoB
b'1842298N11080',11.2,71.9,,,-5864.874999999534,BoB
b'1842298N11080',11.3,71.4,,,-5864.749999999534,BoB
b'1842298N11080',11.3,70.9,,,-5864.624999999534,BoB
b'1842298N11080',11.3,70.5,,,-5864.499999999534,BoB
b'1842298N11080',11.4,70.0,,,-5864.374999999534,BoB
b'1842298N11080',11.5,69.5,,,-5864.249999999534,BoB
b'1842298N11080',11.6,68.9,,,-5864.124999999534,BoB
b'1842298N11080',11.6,68.4,,,-5863.999999999534,BoB
b'1842298N11080',11.7,68.0,,,-5863.874999999534,BoB
b'1842298N11080',11.7,67.7,,,-5863.749999999534,BoB
b'1842298N11080',11.8,67.5,,,-5863.624999999534,BoB
b'1842298N11080',11.8,67.3,,,-5863.499999999534,BoB
b'1842298N11080',11.8,67.1,,,-5863.374999999534,BoB
b'1842298N11080',11.8,66.9,,,-5863.249999999534,BoB
b'1842298N11080',11.9,66.6,,,-5863.124999999534,BoB
b'1842298N11080',12.0,66.4,,,-5862.999999999534,BoB
b'1842298N11080',12.0,66.2,,,-5862.874999999534,BoB
b'1842298N11080',12.0,66.0,,,-5862.749999999534,BoB
b'1842298N11080',12.1,65.8,,,-5862.624999999534,BoB
b'1842298N11080',12.1,65.7,,,-5862.499999999534,BoB
b'1842298N11080',12.1,65.5,,,-5862.374999999534,BoB
b'1842298N11080',12.1,65.3,,,-5862.249999999534,BoB
b'1842298N11080',12.1,65.1,,,-5862.124999999534,BoB
b'1842298N11080',12.2,64.9,,,-5861.999999999534,BoB
b'1842298N11080',12.2,64.7,,,-5861.874999999534,BoB
b'1842298N11080',12.2,64.5,,,-5861.749999999534,BoB
b'1842298N11080',12.2,64.3,,,-5861.624999999534,BoB
b'1842298N11080',12.3,64.1,,,-5861.499999999534,BoB
b'1842298N11080',12.3,63.9,,,-5861.374999999534,BoB
b'1842298N11080',12.4,63.7,,,-5861.249999999534,BoB
b'1842298N11080',12.4,63.5,,,-5861.124999999534,BoB
b'1842298N11080',12.5,63.2,,,-5860.999999999534,BoB
b'1842298N11080',12.6,63.0,,,-5860.874999999534,BoB
b'1842298N11080',12.7,62.8,,,-5860.749999999534,BoB
b'1842298N11080',12.8,62.5,,,-5860.624999999534,BoB
b'1842298N11080',12.8,62.3,,,-5860.499999999534,BoB
b'1842298N11080',12.9,62.1,,,-5860.374999999534,BoB
b'1842298N11080',12.9,61.9,,,-5860.249999999534,BoB
b'1842298N11080',12.9,61.7,,,-5860.124999999534,BoB
b'1842298N11080',13.0,61.5,,,-5859.999999999534,BoB
